# M group - affinity compare

1e2l	quantum=-3.520	af2=-4.536	better=af2
1gx8	quantum=-4.287	af2=-4.028	better=quantum
1m7y	quantum=-3.561	af2=-2.817	better=quantum
1zsf	quantum=-4.633	af2=0.048	better=quantum
2avo	quantum=-5.784	af2=-1.491	better=quantum
2bfq	quantum=-4.698	af2=-3.097	better=quantum
2bok	quantum=-3.757	af2=-3.607	better=quantum
2qbs	quantum=-3.834	af2=-3.355	better=quantum
2vwo	quantum=-4.763	af2=-4.219	better=quantum
2xxx	quantum=-3.444	af2=-2.159	better=quantum
3b26	quantum=-4.915	af2=-4.126	better=quantum
3d83	quantum=-5.092	af2=-4.421	better=quantum
3vf7	quantum=-4.331	af2=0.000	better=quantum
4f5y	quantum=-4.701	af2=-4.155	better=quantum
4mc1	quantum=-4.702	af2=0.000	better=quantum
4y79	quantum=-4.448	af2=-3.695	better=quantum
5cxa	quantum=-5.142	af2=-4.276	better=quantum
5kqx	quantum=-4.963	af2=-1.784	better=quantum
5kr2	quantum=-5.011	af2=-1.631	better=quantum
5nkc	quantum=-5.312	af2=-3.040	better=quantum
5nkd	quantum=-5.604	af2=-1.822	better=quantum
6ezq	quantum=-3.963	af2=-2.888	better=quantum
6g98	quantum=-5.163	af2=-3.824	better=quantum

# total=23
# quantum better: 22 (95.7%)
# af2 better: 1 (4.3%)

